return_1y,return_3y,return_5y,return_10y,beta,sharpe,alpha,scheme_code,scheme_name,category
0.01958405545927211,0.19994289171853308,0.19590519795751304,0.16771921407069446,0.9120989367592254,0.9877685229824763,0.10494628430385597,129312,ICICI Prudential Dividend Yield Equity Fund,Equity Scheme - Dividend Yield Fund
-0.0062999164085321135,0.16958090942558046,0.13506234564197794,0.1453206489317771,0.8885954399592411,0.7837166555431245,0.07908506705668826,120749,UTI - Dividend Yield Fund,Equity Scheme - Dividend Yield Fund
-0.011839714609021668,0.14781396859861862,0.14231240336104833,0.15725001558237994,0.8415085453312087,0.6304352389815056,0.05939921391981767,118527,Franklin India Dividend Yield Fund,Equity Scheme - Dividend Yield Fund
0.08539983718454502,0.17426746667644077,0.15391706599695887,,1.0588307927994831,0.6785174708676055,0.08377629694038759,148947,Tata Dividend Yield Fund,Equity Scheme - Dividend Yield Fund
-0.024508743637692842,0.13255398389002315,,,0.9322807530146867,0.5045218480946273,0.04572942286432667,149700,Sundaram Dividend Yield Fund (Formerly Known as Principal Dividend Yield Fund),Equity Scheme - Dividend Yield Fund
-0.0068046321440834445,,,,0.8938847651882935,-0.7138820405960771,0.0005353442064164847,152810,Baroda BNP Paribas Dividend Yield Fund,Equity Scheme - Dividend Yield Fund
0.03127759237365502,,,,1.0505548813539163,0.7714407607913693,0.11960947854195206,152022,LIC MF Dividend Yield Fund,Equity Scheme - Dividend Yield Fund
,,,,,,,154097,Kotak Dividend Yield Fund,Equity Scheme - Dividend Yield Fund
-0.017618771818891932,0.18643666196888442,0.16790956562467518,0.15113237117940037,0.9235576514546285,0.8725557651931383,0.09364696388466764,119723,SBI ELSS Tax Saver Fund,Equity Scheme - ELSS
-0.038472457603172194,0.16025127921474014,0.16549093988611685,0.14238611302740245,0.8949696221780232,0.7368887660929515,0.07015156210558143,119060,HDFC ELSS Tax saver,Equity Scheme - ELSS
0.013572529481343354,0.16006873166614088,0.14283704271907238,0.11873482001611468,1.0134706820510044,0.6471861819725195,0.07017302812224561,118803,Nippon India ELSS Tax Saver Fund,Equity Scheme - ELSS
-0.015955727508693007,0.1309481657947178,0.12117504953313407,0.13662747016165366,0.8942696883397019,0.5179563736902137,0.04401836135420924,120592,ICICI Prudential ELSS Tax Saver Fund,Equity Scheme - ELSS
0.0,0.1343486125366875,0.12218435161626218,0.15634692801319705,0.9632494750677714,0.5129469678357762,0.04675578871778592,118285,Canara Robeco ELSS Tax Saver,Equity Scheme - ELSS
